2.5394,48.9955,1600
2.5159,48.9949,2700
2.4992,48.9940,3200
2.4835,48.9929,3300
2.4665,48.9917,3400
2.4455,48.9903,4100
2.4224,48.9889,5000
2.4013,48.9877,5800
2.3791,48.9820,6800
2.3592,48.9655,7500
2.3270,48.9284,8900
2.3130,48.9117,9600
2.2812,48.8742,10700
2.2490,48.8359,12000
2.2265,48.8085,12900
2.2168,48.7810,13700
2.2346,48.7276,15200
2.2559,48.7207,15400
2.2562,48.6730,16400
2.2566,48.6641,16600
2.2757,48.6237,17700
2.2951,48.5747,19000
2.3158,48.5224,20300
2.3387,48.4644,21700
2.3596,48.4111,22700
2.3812,48.3564,23800
2.4042,48.2985,25100
2.4348,48.2327,26600
2.4869,48.1213,28300
2.5445,47.9976,29900
2.6023,47.8723,32000
2.6587,47.7501,33600
2.7202,47.6161,35100
2.7805,47.4836,36900
2.8453,47.3406,37000
2.8804,47.2629,37000
2.9070,47.2039,37000
2.9646,47.0756,37000
3.0047,46.9861,37000
3.0308,46.9273,37000
3.0587,46.8647,37000
3.0796,46.8174,37000
3.1122,46.7436,37000
3.1458,46.6675,37000
3.2002,46.5436,37000
3.2260,46.4849,37000
3.2575,46.4123,37000
3.2874,46.3437,37000
3.3169,46.2759,37000
3.3446,46.2118,36800
3.3631,46.1692,35800
3.3960,46.0930,35000
3.4086,46.0636,35000
3.4566,45.9517,34600
3.4831,45.8901,33500
3.5066,45.8353,33100
3.5566,45.7181,33000
3.5938,45.6302,33000
3.6171,45.5752,33000
3.6436,45.5124,33000
3.6940,45.3921,33000
3.7607,45.2975,33000
3.8259,45.2510,33000
3.8984,45.2002,33000
3.9697,45.1503,33000
4.0359,45.1038,33000
4.0988,45.0596,33000
4.1611,45.0156,33000
4.2253,44.9702,33000
4.2834,44.9291,33000
4.3417,44.8877,33000
4.3950,44.8497,33000
4.5001,44.7748,33000
4.5481,44.7403,33000
4.5998,44.7034,33000
4.7357,44.6057,33000
4.7990,44.5598,33000
4.8620,44.5142,33000
4.9244,44.4690,33000
5.0497,44.3779,33000
5.1758,44.2858,32200
5.2364,44.2412,31100
5.2948,44.1984,29700
5.3587,44.1514,28500
5.4180,44.1075,27200
5.4642,44.0733,26300
5.5379,44.0188,24800
5.5870,43.9822,24000
5.6469,43.9377,22600
5.7517,43.8594,20400
5.8106,43.8154,19200
5.8690,43.7717,18000
5.9231,43.7310,16900
5.9711,43.6944,16200
6.0210,43.6566,15700
6.0861,43.6077,15000
6.1262,43.5899,14700
6.1894,43.5720,14200
6.9880,43.4998,3500
7.0042,43.5079,3500
7.0212,43.5189,3300
7.0345,43.5283,3100
7.0476,43.5378,2800
7.0609,43.5476,2500
7.0734,43.5566,2200
7.0863,43.5660,2000
7.0989,43.5752,1700
7.1106,43.5838,1500
7.1229,43.5927,1200
7.1347,43.6013,1000
7.1455,43.6091,800
7.1551,43.6161,600
7.1637,43.6225,400
7.1722,43.6286,200
